Timestamp,Task Name,Inference Time (s),VLM Result,Human Marked Correct
2025-05-16 14:35:56,assembly_step_0,2.39,match,Yes
2025-05-16 14:36:07,assembly_step_0,2.69,no_match,Yes
2025-05-16 14:36:18,assembly_step_0,3.49,no_match,Yes
2025-05-16 14:36:33,assembly_step_0,3.25,no_match,Yes
2025-05-16 14:36:46,assembly_step_0,3.71,no_match,Yes
2025-05-16 14:36:59,assembly_step_0,2.73,no_match,Yes
2025-05-16 14:37:13,assembly_step_0,4.11,no_match,Yes
2025-05-16 14:37:26,assembly_step_0,3.38,no_match,Yes
2025-05-16 14:37:35,assembly_step_0,2.83,no_match,Yes
2025-05-16 14:37:50,assembly_step_1,3.11,match,Yes
2025-05-16 14:38:01,assembly_step_1,2.96,no_match,Yes
2025-05-16 14:38:13,assembly_step_1,3.99,no_match,Yes
2025-05-16 14:38:25,assembly_step_1,2.46,no_match,Yes
2025-05-16 14:38:36,assembly_step_1,3.88,no_match,Yes
2025-05-16 14:38:47,assembly_step_1,2.54,no_match,Yes
2025-05-16 14:38:59,assembly_step_1,4.15,no_match,Yes
2025-05-16 14:39:11,assembly_step_1,3.26,no_match,Yes
2025-05-16 14:39:23,assembly_step_1,3.23,no_match,Yes
2025-05-16 14:39:37,assembly_step_2,1.98,match,Yes
2025-05-16 14:39:46,assembly_step_2,2.50,no_match,Yes
2025-05-16 14:39:51,assembly_step_2,2.50,no_match,Yes
2025-05-16 14:40:07,assembly_step_2,2.60,no_match,Yes
2025-05-16 14:40:21,assembly_step_2,3.07,no_match,Yes
2025-05-16 14:40:41,assembly_step_2,4.17,no_match,Yes
2025-05-16 14:40:56,assembly_step_2,2.37,no_match,Yes
2025-05-16 14:41:08,assembly_step_2,2.59,no_match,Yes
2025-05-16 14:41:39,assembly_step_2,7.46,no_match,Yes
2025-05-16 14:41:50,assembly_step_2,2.77,no_match,Yes
2025-05-16 14:42:01,assembly_step_2,2.10,no_match,Yes
2025-05-16 14:42:12,assembly_step_2,2.46,no_match,Yes
2025-05-16 14:42:28,assembly_step_3,2.18,no_match,No
2025-05-16 14:42:45,assembly_step_3,7.66,no_match,Yes
2025-05-16 14:42:55,assembly_step_3,2.67,no_match,Yes
2025-05-16 14:43:08,assembly_step_3,2.87,no_match,Yes
2025-05-16 14:43:20,assembly_step_3,3.66,no_match,Yes
2025-05-16 14:43:26,assembly_step_3,3.66,no_match,Yes
2025-05-16 14:43:52,assembly_step_3,3.91,no_match,Yes
2025-05-16 14:45:09,assembly_step_3,6.39,no_match,No
