Timestamp,Task Name,Inference Time (s),VLM Result,Human Marked Correct
2025-05-16 14:23:18,assembly_step_0,2.40,match,Yes
2025-05-16 14:23:34,assembly_step_0,5.13,match,No
2025-05-16 14:23:48,assembly_step_0,2.88,no_match,Yes
2025-05-16 14:24:07,assembly_step_0,2.61,match,No
2025-05-16 14:24:22,assembly_step_0,5.41,no_match,Yes
2025-05-16 14:24:34,assembly_step_0,3.58,no_match,Yes
2025-05-16 14:24:51,assembly_step_0,5.76,no_match,Yes
2025-05-16 14:25:09,assembly_step_0,3.64,no_match,Yes
2025-05-16 14:25:36,assembly_step_1,2.97,match,Yes
2025-05-16 14:25:48,assembly_step_1,3.91,no_match,Yes
2025-05-16 14:26:06,assembly_step_1,4.32,no_match,Yes
2025-05-16 14:26:22,assembly_step_1,3.63,no_match,Yes
2025-05-16 14:26:37,assembly_step_1,3.99,no_match,Yes
2025-05-16 14:26:49,assembly_step_1,4.36,no_match,Yes
2025-05-16 14:27:04,assembly_step_1,3.76,no_match,Yes
2025-05-16 14:27:20,assembly_step_1,3.42,no_match,Yes
2025-05-16 14:27:46,assembly_step_1,11.08,no_match,Yes
2025-05-16 14:28:21,assembly_step_2,8.62,match,Yes
2025-05-16 14:28:35,assembly_step_2,4.92,no_match,Yes
2025-05-16 14:28:51,assembly_step_2,7.56,match,No
2025-05-16 14:29:06,assembly_step_2,4.01,match,No
2025-05-16 14:29:20,assembly_step_2,4.93,no_match,Yes
2025-05-16 14:29:34,assembly_step_2,5.96,no_match,Yes
2025-05-16 14:29:48,assembly_step_2,4.26,no_match,Yes
2025-05-16 14:30:01,assembly_step_2,4.25,no_match,Yes
2025-05-16 14:30:14,assembly_step_2,3.83,no_match,Yes
2025-05-16 14:30:28,assembly_step_2,3.20,no_match,Yes
2025-05-16 14:31:07,assembly_step_2,29.06,no_match,Yes
2025-05-16 14:31:27,assembly_step_3,4.97,no_match,No
2025-05-16 14:31:42,assembly_step_3,4.85,match,Yes
2025-05-16 14:31:55,assembly_step_3,4.00,match,No
2025-05-16 14:32:10,assembly_step_3,5.18,no_match,Yes
2025-05-16 14:32:25,assembly_step_3,4.72,no_match,Yes
2025-05-16 14:32:38,assembly_step_3,4.30,no_match,Yes
2025-05-16 14:32:51,assembly_step_3,6.03,no_match,Yes
2025-05-16 14:33:02,assembly_step_3,3.70,no_match,Yes
